fips,year,quarter,quarter_num,period_index,total_ed_encounters,treat_and_release_ed,ed_encounters_requiring,ed_encounters_admitted_as,facility_count,component_gap,county_name,lat,lon,target_lag1,target_lag2,target_lag3,target_lag4,target_roll4,facility_count_lag1,acs_lag2_population,acs_lag2_median_income,acs_lag2_poverty_rate,acs_lag2_pct_under5,acs_lag2_pct_65plus,acs_source_year,acs_lag2_population_100k,weather_lag4_days_observed,weather_lag4_tavg_mean,weather_lag4_precip_total,weather_lag4_snowfall_total,weather_lag4_hot_days,weather_lag4_freeze_days,weather_lag4_wet_days,weather_source_year,is_covid,post_covid,quarter_Q2,quarter_Q3,quarter_Q4,is_nyc,is_downstate_non_nyc,region,facility_ed_encounters_per_100k_proxy
36109,2018,Q1,1,8073,6700.0,5671.0,48.0,981.0,1,0.0,Tompkins County,42.453006,-76.473483,,,,,,,104268.0,54133.0,20.07083955946649,4.230444623470288,12.176314880883876,2016,1.04268,90,31.572222222222223,12.508000000000001,35.166000000000004,0,70,61,2017,0,0,0,0,0,0,0,upstate,6425.74903134231
36111,2018,Q1,1,8073,12537.0,11022.0,62.0,1453.0,2,0.0,Ulster County,41.947212,-74.265458,,,,,,,180505.0,60393.0,13.018375135366778,4.522312401318523,17.37070995263289,2016,1.80505,90,32.07222222222222,11.666,42.552,0,70,46,2017,0,0,0,0,0,0,0,upstate,6945.513974682142
36113,2018,Q1,1,8073,10829.0,8245.0,122.0,2462.0,1,0.0,Warren County,43.555105,-73.838139,,,,,,,64911.0,57174.0,11.06145600575027,4.557008827471461,19.763984532667806,2016,0.64911,90,26.965,9.468,44.648,0,79,37,2017,0,0,0,0,0,0,0,upstate,16682.842661490347
36117,2018,Q1,1,8073,6384.0,5272.0,33.0,1079.0,1,0.0,Wayne County,43.218114,-77.049402,,,,,,,91874.0,51627.0,11.899812009288953,5.503189150358099,16.496506084419966,2016,0.91874,90,32.492222222222225,10.779,29.931,0,67,60,2017,0,0,0,0,0,0,0,upstate,6948.6470601040555
36119,2018,Q1,1,8073,82557.0,56761.0,420.0,14335.0,13,11041.0,Westchester County,41.152686,-73.745753,,,,,,,969229.0,86226.0,9.791088206496799,5.707732641099265,15.646869831587788,2016,9.69229,90,34.784444444444446,10.206,29.158,0,59,42,2017,0,0,0,0,0,0,1,downstate_non_nyc,8517.8012626531
36121,2018,Q1,1,8073,3243.0,2860.0,18.0,365.0,1,0.0,Wyoming County,42.701365,-78.228576,,,,,,,41239.0,53612.0,11.533729203445139,4.934649239797279,15.512015325298867,2016,0.41239,90,29.53833333333333,11.311,33.676,0,77,68,2017,0,0,0,0,0,0,0,upstate,7863.915225878416
36123,2018,Q1,1,8073,1962.0,1805.0,0.0,157.0,1,0.0,Yates County,42.638237,-77.104324,,,,,,,25106.0,50105.0,13.900406248691208,5.994582968214769,18.230701824265118,2016,0.25106,90,31.55388888888889,10.427,27.756,0,70,57,2017,0,0,0,0,0,0,0,upstate,7814.8649725165305
36001,2018,Q2,2,8074,41928.0,31370.0,357.0,10201.0,5,0.0,Albany County,42.58824,-73.97401,42951.0,,,,,5.0,307891.0,60904.0,12.923933362091985,5.02483021588809,15.213500881805576,2016,3.07891,91,56.417582417582416,13.399000000000001,1.8739999999999999,0,3,53,2017,0,0,1,0,0,0,0,upstate,13617.806301580753
36003,2018,Q2,2,8074,5125.0,2613.0,21.0,309.0,2,2182.0,Allegany County,42.247853,-78.026153,5290.0,,,,,2.0,47700.0,44085.0,17.07094143289039,5.140461215932914,16.79245283018868,2016,0.477,91,55.3587912087912,14.943999999999999,2.233,0,10,59,2017,0,0,1,0,0,0,0,upstate,10744.234800838574
36005,2018,Q2,2,8074,201587.0,74119.0,677.0,12849.0,10,113942.0,Bronx County,40.848711,-73.852939,210214.0,,,,,10.0,1436785.0,35302.0,30.529351975308995,7.47878075007743,11.26981420323848,2016,14.36785,91,60.51703296703297,12.169,0.0,2,0,52,2017,0,0,1,0,0,1,0,nyc,14030.422088203873
36007,2018,Q2,2,8074,24006.0,15725.0,191.0,3647.0,3,4443.0,Broome County,42.161977,-75.830283,23818.0,,,,,3.0,197381.0,47744.0,17.424558030230198,5.182363044061992,17.586292500291314,2016,1.97381,91,56.169230769230765,15.134,1.46,0,10,56,2017,0,0,1,0,0,0,0,upstate,12162.264858319697
36009,2018,Q2,2,8074,7998.0,6957.0,60.0,981.0,1,0.0,Cattaraugus County,42.239099,-78.662332,8308.0,,,,,1.0,78506.0,43884.0,17.46267870777494,5.868341273278475,17.07130665172089,2016,0.78506,91,54.99340659340659,18.733999999999998,4.712,0,8,55,2017,0,0,1,0,0,0,0,upstate,10187.756349833135
36011,2018,Q2,2,8074,6700.0,5720.0,72.0,908.0,1,0.0,Cayuga County,43.008546,-76.574587,6118.0,,,,,1.0,78783.0,53114.0,11.38972323535722,5.128009849840702,16.864044273510785,2016,0.78783,91,58.00879120879121,17.084,1.9020000000000001,0,2,62,2017,0,0,1,0,0,0,0,upstate,8504.372770775422
36013,2018,Q2,2,8074,10634.0,7507.0,63.0,1280.0,5,1784.0,Chautauqua County,42.304216,-79.407595,10725.0,,,,,5.0,131748.0,43211.0,19.39811025374095,5.364787321249658,18.046573762030544,2016,1.31748,91,57.06703296703297,15.523,7.054999999999999,0,2,59,2017,0,0,1,0,0,0,0,upstate,8071.469775632268
